================================================================================
********************************************************************************
Backtracking Algorithm Detail result
********************************************************************************
================================================================================
Below is spreadsheet-like data. Copy and paste on excel or google spreadsheet.

Backtracking Algorithm Detail
NQueen	Time	SUCCESS/FAIL	Number of Trials
7	9	SUCCESS	11
7	9	SUCCESS	12
7	8	SUCCESS	13
7	8	SUCCESS	14
7	8	SUCCESS	15
7	8	SUCCESS	16
7	9	SUCCESS	17
7	9	SUCCESS	18
7	8	SUCCESS	19
7	8	SUCCESS	20
7	8	SUCCESS	21
7	9	SUCCESS	22
7	9	SUCCESS	23
7	8	SUCCESS	24
7	8	SUCCESS	25
7	9	SUCCESS	26
7	9	SUCCESS	27
7	8	SUCCESS	28
7	8	SUCCESS	29
7	8	SUCCESS	30
7	9	SUCCESS	31
7	9	SUCCESS	32
7	9	SUCCESS	33
7	8	SUCCESS	34
7	8	SUCCESS	35
7	8	SUCCESS	36
7	8	SUCCESS	37
7	8	SUCCESS	38
7	9	SUCCESS	39
7	8	SUCCESS	40
7	8	SUCCESS	41
7	9	SUCCESS	42
7	9	SUCCESS	43
7	8	SUCCESS	44
7	8	SUCCESS	45
7	8	SUCCESS	46
7	8	SUCCESS	47
7	9	SUCCESS	48
7	9	SUCCESS	49
7	8	SUCCESS	50
********************************************************************************
8	158	SUCCESS	1
8	140	SUCCESS	2
8	132	SUCCESS	3
8	132	SUCCESS	4
8	132	SUCCESS	5
8	132	SUCCESS	6
8	131	SUCCESS	7
8	131	SUCCESS	8
8	132	SUCCESS	9
8	133	SUCCESS	10
8	132	SUCCESS	11
8	130	SUCCESS	12
8	131	SUCCESS	13
8	131	SUCCESS	14
8	130	SUCCESS	15
8	130	SUCCESS	16
8	136	SUCCESS	17
8	131	SUCCESS	18
8	131	SUCCESS	19
8	130	SUCCESS	20
8	130	SUCCESS	21
8	131	SUCCESS	22
8	130	SUCCESS	23
8	130	SUCCESS	24
8	133	SUCCESS	25
8	131	SUCCESS	26
8	130	SUCCESS	27
8	130	SUCCESS	28
8	131	SUCCESS	29
8	130	SUCCESS	30
8	131	SUCCESS	31
8	130	SUCCESS	32
8	132	SUCCESS	33
8	130	SUCCESS	34
8	131	SUCCESS	35
8	131	SUCCESS	36
8	131	SUCCESS	37
8	130	SUCCESS	38
8	130	SUCCESS	39
8	132	SUCCESS	40
8	130	SUCCESS	41
8	131	SUCCESS	42
8	131	SUCCESS	43
8	130	SUCCESS	44
8	130	SUCCESS	45
8	130	SUCCESS	46
8	130	SUCCESS	47
8	134	SUCCESS	48
8	131	SUCCESS	49
8	131	SUCCESS	50
********************************************************************************
9	81	SUCCESS	1
9	56	SUCCESS	2
9	54	SUCCESS	3
9	53	SUCCESS	4
9	53	SUCCESS	5
9	52	SUCCESS	6
9	53	SUCCESS	7
9	53	SUCCESS	8
9	60	SUCCESS	9
9	52	SUCCESS	10
9	52	SUCCESS	11
9	52	SUCCESS	12
9	52	SUCCESS	13
9	52	SUCCESS	14
9	52	SUCCESS	15
9	52	SUCCESS	16
9	52	SUCCESS	17
9	52	SUCCESS	18
9	52	SUCCESS	19
9	52	SUCCESS	20
9	52	SUCCESS	21
9	51	SUCCESS	22
9	53	SUCCESS	23
9	52	SUCCESS	24
9	51	SUCCESS	25
9	51	SUCCESS	26
9	52	SUCCESS	27
9	55	SUCCESS	28
9	52	SUCCESS	29
9	52	SUCCESS	30
9	52	SUCCESS	31
9	52	SUCCESS	32
9	52	SUCCESS	33
9	52	SUCCESS	34
9	52	SUCCESS	35
9	52	SUCCESS	36
9	53	SUCCESS	37
9	52	SUCCESS	38
9	52	SUCCESS	39
9	52	SUCCESS	40
9	52	SUCCESS	41
9	52	SUCCESS	42
9	52	SUCCESS	43
9	51	SUCCESS	44
9	53	SUCCESS	45
9	54	SUCCESS	46
9	52	SUCCESS	47
9	52	SUCCESS	48
9	52	SUCCESS	49
9	52	SUCCESS	50
********************************************************************************
10	199	SUCCESS	1
10	175	SUCCESS	2
10	165	SUCCESS	3
10	164	SUCCESS	4
10	163	SUCCESS	5
10	164	SUCCESS	6
10	162	SUCCESS	7
10	162	SUCCESS	8
10	162	SUCCESS	9
10	163	SUCCESS	10
10	163	SUCCESS	11
10	163	SUCCESS	12
10	162	SUCCESS	13
10	163	SUCCESS	14
10	164	SUCCESS	15
10	162	SUCCESS	16
10	163	SUCCESS	17
10	163	SUCCESS	18
10	163	SUCCESS	19
10	163	SUCCESS	20
10	164	SUCCESS	21
10	162	SUCCESS	22
10	163	SUCCESS	23
10	162	SUCCESS	24
10	162	SUCCESS	25
10	161	SUCCESS	26
10	165	SUCCESS	27
10	163	SUCCESS	28
10	162	SUCCESS	29
10	162	SUCCESS	30
10	162	SUCCESS	31
10	162	SUCCESS	32
10	164	SUCCESS	33
10	162	SUCCESS	34
10	162	SUCCESS	35
10	162	SUCCESS	36
10	162	SUCCESS	37
10	162	SUCCESS	38
10	164	SUCCESS	39
10	162	SUCCESS	40
10	163	SUCCESS	41
10	162	SUCCESS	42
10	161	SUCCESS	43
10	162	SUCCESS	44
10	164	SUCCESS	45
10	162	SUCCESS	46
10	163	SUCCESS	47
10	162	SUCCESS	48
10	161	SUCCESS	49
10	162	SUCCESS	50
********************************************************************************
11	134	SUCCESS	1
11	99	SUCCESS	2
11	97	SUCCESS	3
11	96	SUCCESS	4
11	96	SUCCESS	5
11	95	SUCCESS	6
11	104	SUCCESS	7
11	95	SUCCESS	8
11	94	SUCCESS	9
11	95	SUCCESS	10
11	94	SUCCESS	11
11	95	SUCCESS	12
11	94	SUCCESS	13
11	93	SUCCESS	14
11	94	SUCCESS	15
11	94	SUCCESS	16
11	97	SUCCESS	17
11	94	SUCCESS	18
11	94	SUCCESS	19
11	94	SUCCESS	20
11	94	SUCCESS	21
11	94	SUCCESS	22
11	94	SUCCESS	23
11	94	SUCCESS	24
11	94	SUCCESS	25
11	94	SUCCESS	26
11	94	SUCCESS	27
11	96	SUCCESS	28
11	95	SUCCESS	29
11	94	SUCCESS	30
11	94	SUCCESS	31
11	94	SUCCESS	32
11	94	SUCCESS	33
11	94	SUCCESS	34
11	93	SUCCESS	35
11	94	SUCCESS	36
11	94	SUCCESS	37
11	96	SUCCESS	38
11	94	SUCCESS	39
11	95	SUCCESS	40
11	94	SUCCESS	41
11	93	SUCCESS	42
11	94	SUCCESS	43
11	95	SUCCESS	44
11	94	SUCCESS	45
11	95	SUCCESS	46
11	94	SUCCESS	47
11	95	SUCCESS	48
11	97	SUCCESS	49
11	94	SUCCESS	50
********************************************************************************
12	613	SUCCESS	1
12	562	SUCCESS	2
12	563	SUCCESS	3
12	563	SUCCESS	4
12	561	SUCCESS	5
12	563	SUCCESS	6
12	560	SUCCESS	7
12	563	SUCCESS	8
12	560	SUCCESS	9
12	563	SUCCESS	10
12	560	SUCCESS	11
12	562	SUCCESS	12
12	561	SUCCESS	13
12	560	SUCCESS	14
12	563	SUCCESS	15
12	561	SUCCESS	16
12	562	SUCCESS	17
12	559	SUCCESS	18
12	561	SUCCESS	19
12	563	SUCCESS	20
12	561	SUCCESS	21
12	562	SUCCESS	22
12	559	SUCCESS	23
12	561	SUCCESS	24
12	561	SUCCESS	25
12	562	SUCCESS	26
12	561	SUCCESS	27
12	562	SUCCESS	28
12	565	SUCCESS	29
12	561	SUCCESS	30
12	563	SUCCESS	31
12	561	SUCCESS	32
12	561	SUCCESS	33
12	560	SUCCESS	34
12	563	SUCCESS	35
12	562	SUCCESS	36
12	562	SUCCESS	37
12	563	SUCCESS	38
12	560	SUCCESS	39
12	562	SUCCESS	40
12	561	SUCCESS	41
12	563	SUCCESS	42
12	560	SUCCESS	43
12	561	SUCCESS	44
12	563	SUCCESS	45
12	560	SUCCESS	46
12	562	SUCCESS	47
12	561	SUCCESS	48
12	561	SUCCESS	49
12	561	SUCCESS	50
********************************************************************************
13	326	SUCCESS	1
13	277	SUCCESS	2
13	275	SUCCESS	3
13	274	SUCCESS	4
13	281	SUCCESS	5
13	274	SUCCESS	6
13	274	SUCCESS	7
13	276	SUCCESS	8
13	274	SUCCESS	9
13	273	SUCCESS	10
13	273	SUCCESS	11
13	275	SUCCESS	12
13	273	SUCCESS	13
13	274	SUCCESS	14
13	273	SUCCESS	15
13	275	SUCCESS	16
13	271	SUCCESS	17
13	273	SUCCESS	18
13	276	SUCCESS	19
13	272	SUCCESS	20
13	273	SUCCESS	21
13	271	SUCCESS	22
13	274	SUCCESS	23
13	274	SUCCESS	24
13	273	SUCCESS	25
13	273	SUCCESS	26
13	275	SUCCESS	27
13	272	SUCCESS	28
13	274	SUCCESS	29
13	273	SUCCESS	30
13	272	SUCCESS	31
13	272	SUCCESS	32
13	272	SUCCESS	33
13	277	SUCCESS	34
13	273	SUCCESS	35
13	273	SUCCESS	36
13	275	SUCCESS	37
13	274	SUCCESS	38
13	273	SUCCESS	39
13	273	SUCCESS	40
13	275	SUCCESS	41
13	272	SUCCESS	42
13	274	SUCCESS	43
13	273	SUCCESS	44
13	275	SUCCESS	45
13	273	SUCCESS	46
13	273	SUCCESS	47
13	276	SUCCESS	48
13	271	SUCCESS	49
13	274	SUCCESS	50
********************************************************************************
14	5421	SUCCESS	1
14	5369	SUCCESS	2
14	5374	SUCCESS	3
14	5374	SUCCESS	4
14	5369	SUCCESS	5
14	5368	SUCCESS	6
14	5369	SUCCESS	7
14	5369	SUCCESS	8
14	5366	SUCCESS	9
14	5367	SUCCESS	10
14	5366	SUCCESS	11
14	5373	SUCCESS	12
14	5365	SUCCESS	13
14	5368	SUCCESS	14
14	5365	SUCCESS	15
14	5366	SUCCESS	16
14	5396	SUCCESS	17
14	5368	SUCCESS	18
14	5370	SUCCESS	19
14	5370	SUCCESS	20
14	5367	SUCCESS	21
14	5368	SUCCESS	22
14	5373	SUCCESS	23
14	5366	SUCCESS	24
14	5365	SUCCESS	25
14	5368	SUCCESS	26
14	5367	SUCCESS	27
14	5368	SUCCESS	28
14	5369	SUCCESS	29
14	5368	SUCCESS	30
14	5372	SUCCESS	31
14	5365	SUCCESS	32
14	5367	SUCCESS	33
14	5371	SUCCESS	34
14	5366	SUCCESS	35
14	5387	SUCCESS	36
14	5876	SUCCESS	37
14	5532	SUCCESS	38
14	5355	SUCCESS	39
14	5364	SUCCESS	40
14	5371	SUCCESS	41
14	5370	SUCCESS	42
14	5370	SUCCESS	43
14	5370	SUCCESS	44
14	5373	SUCCESS	45
14	5368	SUCCESS	46
14	5369	SUCCESS	47
14	5370	SUCCESS	48
14	5364	SUCCESS	49
14	5368	SUCCESS	50
********************************************************************************
15	4439	SUCCESS	1
15	4373	SUCCESS	2
15	4377	SUCCESS	3
15	4375	SUCCESS	4
15	4371	SUCCESS	5
15	4372	SUCCESS	6
15	4373	SUCCESS	7
15	4371	SUCCESS	8
15	4368	SUCCESS	9
15	4372	SUCCESS	10
15	4372	SUCCESS	11
15	4372	SUCCESS	12
15	4369	SUCCESS	13
15	4368	SUCCESS	14
15	4368	SUCCESS	15
15	4374	SUCCESS	16
15	4372	SUCCESS	17
15	4371	SUCCESS	18
15	4372	SUCCESS	19
15	4371	SUCCESS	20
15	4369	SUCCESS	21
15	4372	SUCCESS	22
15	4378	SUCCESS	23
15	4388	SUCCESS	24
15	4382	SUCCESS	25
15	4381	SUCCESS	26
15	4383	SUCCESS	27
15	4383	SUCCESS	28
15	4384	SUCCESS	29
15	4381	SUCCESS	30
15	4379	SUCCESS	31
15	4380	SUCCESS	32
15	4379	SUCCESS	33
15	4380	SUCCESS	34
15	4382	SUCCESS	35
15	4381	SUCCESS	36
15	4383	SUCCESS	37
15	4381	SUCCESS	38
15	4381	SUCCESS	39
15	4380	SUCCESS	40
15	4383	SUCCESS	41
15	4381	SUCCESS	42
15	4378	SUCCESS	43
15	4380	SUCCESS	44
15	4385	SUCCESS	45
15	4379	SUCCESS	46
15	4381	SUCCESS	47
15	4379	SUCCESS	48
15	4381	SUCCESS	49
15	4381	SUCCESS	50
********************************************************************************
16	35008	SUCCESS	1
16	34894	SUCCESS	2
16	34905	SUCCESS	3
16	34934	SUCCESS	4
16	34909	SUCCESS	5
16	34948	SUCCESS	6
16	34909	SUCCESS	7
16	34899	SUCCESS	8
16	34904	SUCCESS	9
16	34917	SUCCESS	10
16	34906	SUCCESS	11
16	34911	SUCCESS	12
16	34927	SUCCESS	13
16	34915	SUCCESS	14
16	34913	SUCCESS	15
16	34921	SUCCESS	16
16	34894	SUCCESS	17
16	34907	SUCCESS	18
16	35567	SUCCESS	19
16	35003	SUCCESS	20
16	34976	SUCCESS	21
16	34968	SUCCESS	22
16	34971	SUCCESS	23
16	34973	SUCCESS	24
16	34993	SUCCESS	25
16	34982	SUCCESS	26
16	34999	SUCCESS	27
16	34985	SUCCESS	28
16	34976	SUCCESS	29
16	34987	SUCCESS	30
16	34970	SUCCESS	31
16	34973	SUCCESS	32
16	34963	SUCCESS	33
16	34995	SUCCESS	34
16	34968	SUCCESS	35
16	34974	SUCCESS	36
16	34978	SUCCESS	37
16	34990	SUCCESS	38
16	34971	SUCCESS	39
16	35003	SUCCESS	40
16	34985	SUCCESS	41
16	34979	SUCCESS	42
16	34987	SUCCESS	43
16	34961	SUCCESS	44
16	35025	SUCCESS	45
16	34983	SUCCESS	46
16	34983	SUCCESS	47
16	35582	SUCCESS	48
16	34915	SUCCESS	49
16	34910	SUCCESS	50
********************************************************************************
17	21005	SUCCESS	1
17	20905	SUCCESS	2
17	20904	SUCCESS	3
17	20923	SUCCESS	4
17	20927	SUCCESS	5
17	20903	SUCCESS	6
17	20896	SUCCESS	7
17	20891	SUCCESS	8
17	20898	SUCCESS	9
17	20899	SUCCESS	10
17	20920	SUCCESS	11
17	20967	SUCCESS	12
17	20988	SUCCESS	13
17	20982	SUCCESS	14
17	20908	SUCCESS	15
17	20905	SUCCESS	16
17	20912	SUCCESS	17
17	20909	SUCCESS	18
17	20886	SUCCESS	19
17	20929	SUCCESS	20
17	20938	SUCCESS	21
17	20917	SUCCESS	22
17	20944	SUCCESS	23
17	20944	SUCCESS	24
17	20931	SUCCESS	25
17	20948	SUCCESS	26
17	20925	SUCCESS	27
17	20924	SUCCESS	28
17	20947	SUCCESS	29
17	20939	SUCCESS	30
17	20923	SUCCESS	31
17	20933	SUCCESS	32
17	20939	SUCCESS	33
17	20917	SUCCESS	34
17	20927	SUCCESS	35
17	20924	SUCCESS	36
17	20924	SUCCESS	37
17	20979	SUCCESS	38
17	20939	SUCCESS	39
17	20931	SUCCESS	40
17	20977	SUCCESS	41
17	21011	SUCCESS	42
17	22388	SUCCESS	43
17	20913	SUCCESS	44
17	20920	SUCCESS	45
17	20893	SUCCESS	46
17	20899	SUCCESS	47
17	20908	SUCCESS	48
17	20897	SUCCESS	49
17	20895	SUCCESS	50
********************************************************************************
18	176714	SUCCESS	1
18	176637	SUCCESS	2
18	176589	SUCCESS	3
18	176573	SUCCESS	4
18	176654	SUCCESS	5
18	176388	SUCCESS	6
18	176378	SUCCESS	7
18	176339	SUCCESS	8
18	176368	SUCCESS	9
18	176459	SUCCESS	10
18	176617	SUCCESS	11
18	176636	SUCCESS	12
18	176625	SUCCESS	13
18	176555	SUCCESS	14
18	176584	SUCCESS	15
18	176466	SUCCESS	16
18	176345	SUCCESS	17
18	176320	SUCCESS	18
18	176315	SUCCESS	19
18	176364	SUCCESS	20
18	176544	SUCCESS	21
18	176496	SUCCESS	22
18	176624	SUCCESS	23
18	176607	SUCCESS	24
18	176588	SUCCESS	25
18	176591	SUCCESS	26
18	176647	SUCCESS	27
18	176624	SUCCESS	28
18	176603	SUCCESS	29
18	176573	SUCCESS	30
18	176536	SUCCESS	31
18	176577	SUCCESS	32
18	178171	SUCCESS	33
18	177882	SUCCESS	34
18	176367	SUCCESS	35
18	176341	SUCCESS	36
18	176319	SUCCESS	37
18	176587	SUCCESS	38
18	177080	SUCCESS	39
18	176720	SUCCESS	40
18	176601	SUCCESS	41
18	176632	SUCCESS	42
18	176615	SUCCESS	43
18	176519	SUCCESS	44
18	176652	SUCCESS	45
18	176607	SUCCESS	46
18	176621	SUCCESS	47
18	176616	SUCCESS	48
18	176589	SUCCESS	49
18	176713	SUCCESS	50
********************************************************************************
19	13010	SUCCESS	1
19	12854	SUCCESS	2
19	12861	SUCCESS	3
19	12851	SUCCESS	4
19	12863	SUCCESS	5
19	12864	SUCCESS	6
19	12865	SUCCESS	7
19	12870	SUCCESS	8
19	12858	SUCCESS	9
19	12867	SUCCESS	10
19	12859	SUCCESS	11
19	12891	SUCCESS	12
19	12864	SUCCESS	13
19	12896	SUCCESS	14
19	12886	SUCCESS	15
19	12862	SUCCESS	16
19	12887	SUCCESS	17
19	12876	SUCCESS	18
19	12906	SUCCESS	19
19	12915	SUCCESS	20
19	12880	SUCCESS	21
19	12876	SUCCESS	22
19	12858	SUCCESS	23
19	12876	SUCCESS	24
19	12870	SUCCESS	25
19	12848	SUCCESS	26
19	12899	SUCCESS	27
19	12908	SUCCESS	28
19	12893	SUCCESS	29
19	12896	SUCCESS	30
19	12904	SUCCESS	31
19	12913	SUCCESS	32
19	12903	SUCCESS	33
19	12897	SUCCESS	34
19	12923	SUCCESS	35
19	12905	SUCCESS	36
19	12901	SUCCESS	37
19	12831	SUCCESS	38
19	12841	SUCCESS	39
19	12875	SUCCESS	40
19	12878	SUCCESS	41
19	12899	SUCCESS	42
19	12858	SUCCESS	43
19	12877	SUCCESS	44
19	12878	SUCCESS	45
19	12838	SUCCESS	46
19	12859	SUCCESS	47
19	12893	SUCCESS	48
19	12900	SUCCESS	49
19	12877	SUCCESS	50
********************************************************************************
20	1048618	SUCCESS	1
20	1046382	SUCCESS	2
20	1047775	SUCCESS	3
20	1043825	SUCCESS	4
20	1044918	SUCCESS	5
20	1044928	SUCCESS	6
20	1044958	SUCCESS	7
20	1044720	SUCCESS	8
20	1046128	SUCCESS	9
20	1046262	SUCCESS	10
20	1045928	SUCCESS	11
20	1044390	SUCCESS	12
20	1047809	SUCCESS	13
20	1046171	SUCCESS	14
20	1044087	SUCCESS	15
20	1045304	SUCCESS	16
20	1045699	SUCCESS	17
20	1044239	SUCCESS	18
20	1045018	SUCCESS	19
20	1045278	SUCCESS	20
20	1045366	SUCCESS	21
20	1044989	SUCCESS	22
20	1044919	SUCCESS	23
20	1053269	SUCCESS	24
20	1044153	SUCCESS	25
20	1046674	SUCCESS	26
20	1046243	SUCCESS	27
20	1044077	SUCCESS	28
20	1046536	SUCCESS	29
20	1046782	SUCCESS	30
20	1048382	SUCCESS	31
20	1046890	SUCCESS	32
20	1046432	SUCCESS	33
20	1046254	SUCCESS	34
20	1045931	SUCCESS	35
20	1045720	SUCCESS	36
20	1045570	SUCCESS	37
20	1045947	SUCCESS	38
20	1045904	SUCCESS	39
20	1045917	SUCCESS	40
20	1044760	SUCCESS	41
20	1046217	SUCCESS	42
20	1046106	SUCCESS	43
20	1046297	SUCCESS	44
20	1044621	SUCCESS	45
20	1045628	SUCCESS	46
20	1046556	SUCCESS	47
20	1045532	SUCCESS	48
20	1046613	SUCCESS	49
20	1049263	SUCCESS	50
********************************************************************************
